date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:16	96874/96874	---M-Z	200	added ('OK')	application/javascript	etag:%2217a6a-591c7ca2f7483-gzip%22	http://emberhouse.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://emberhouse.com/)
11:28:16	818/818	---M-Z	200	added ('OK')	text/xml	date:Fri,%2023%20Oct%202020%2005:15:46%20GMT	http://emberhouse.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Shine/emberhouse.com/xmlrpc0db0.php	(from http://emberhouse.com/)
11:28:17	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://emberhouse.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-includes/wlwmanifest.xml	(from http://emberhouse.com/)
11:28:17	2154/2154	---MC-	200	added ('OK')	application/json	date:Fri,%2023%20Oct%202020%2005:15:47%20GMT	http://emberhouse.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Femberhouse.com%2F	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-json/oembed/1.0/embed1470.json	(from http://emberhouse.com/)
11:28:18	2255/2255	---M-Z	200	added ('OK')	text/xml	date:Fri,%2023%20Oct%202020%2005:15:48%20GMT	http://emberhouse.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Femberhouse.com%2F&format=xml	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-json/oembed/1.0/embedd2cb	(from http://emberhouse.com/)
11:28:18	52796/52796	---MC-	200	added ('OK')	application/json	date:Fri,%2023%20Oct%202020%2005:15:46%20GMT	http://emberhouse.com/wp-json/	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-json/index.html	(from http://emberhouse.com/)
11:28:19	23832/23832	---M-Z	200	added ('OK')	application/javascript	etag:%225d18-54da00f8780b4-gzip%22	http://emberhouse.com/wp-content/themes/emberhouse/vendors/autotrack.js	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/vendors/autotrack.js	(from http://emberhouse.com/)
11:28:20	94754/94754	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2005:15:50%20GMT	http://emberhouse.com/our-story	C:/My%20Web%20Sites/Shine/emberhouse.com/our-story.html	(from http://emberhouse.com/)
11:28:21	112407/112407	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2005:15:51%20GMT	http://emberhouse.com/our-difference	C:/My%20Web%20Sites/Shine/emberhouse.com/our-difference.html	(from http://emberhouse.com/)
11:28:22	95205/95205	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2005:15:52%20GMT	http://emberhouse.com/services	C:/My%20Web%20Sites/Shine/emberhouse.com/services.html	(from http://emberhouse.com/)
11:28:23	93674/93674	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2005:15:53%20GMT	http://emberhouse.com/contact	C:/My%20Web%20Sites/Shine/emberhouse.com/contact.html	(from http://emberhouse.com/)
11:28:24	437/437	---M--	200	added ('OK')	image/svg+xml	etag:%221b5-54d9d3f33b1b4%22	http://emberhouse.com/wp-content/themes/emberhouse/svgs/arrow-up.svg	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/svgs/arrow-up.svg	(from http://emberhouse.com/)
11:28:26	46489/46489	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20Sep%202020%2001:50:37%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Shine/www.google-analytics.com/analytics.js	(from http://emberhouse.com/)
11:28:59	232643/232643	---M--	200	added ('OK')	image/jpeg	etag:%2238cc3-547a768a9b7a5%22	http://emberhouse.com/wp-content/uploads/2017/01/informed.jpg	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/uploads/2017/01/informed.jpg	(from http://emberhouse.com/)
11:29:03	227390/227390	---M--	200	added ('OK')	image/jpeg	etag:%223783e-547a768b90985%22	http://emberhouse.com/wp-content/uploads/2017/01/instilled.jpg	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/uploads/2017/01/instilled.jpg	(from http://emberhouse.com/)
11:29:05	245103/245103	---M--	200	added ('OK')	image/jpeg	etag:%223bd6f-547a768dae965%22	http://emberhouse.com/wp-content/uploads/2017/01/narrowed.jpg	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/uploads/2017/01/narrowed.jpg	(from http://emberhouse.com/)
11:29:06	2975/2975	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Oct%202020%2020:50:36%20GMT	https://calendly.com/assets/external/widget.css	C:/My%20Web%20Sites/Shine/calendly.com/assets/external/widget.css	(from http://emberhouse.com/)
11:29:08	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Oct%202020%2005:16:38%20GMT	http://emberhouse.com/legal/	C:/My%20Web%20Sites/Shine/emberhouse.com/legal/index.html	(from http://emberhouse.com/)
11:29:10	25688/25688	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2022%20Oct%202020%2020:57:55%20GMT	https://calendly.com/assets/external/widget.js	C:/My%20Web%20Sites/Shine/calendly.com/assets/external/widget.js	(from http://emberhouse.com/)
11:29:11	4898/4898	---M--	200	added ('OK')	image/png	etag:%221322-54e15896aa9f4%22	http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/images/simple-share-buttons-logo-white.png	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/plugins/simple-share-buttons-plus/images/simple-share-buttons-logo-white.png	(from http://emberhouse.com/)
11:29:13	308066/308066	---M--	200	added ('OK')	image/jpeg	etag:%224b362-547a76898cf85%22	http://emberhouse.com/wp-content/uploads/2017/01/grounded.jpg	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/uploads/2017/01/grounded.jpg	(from http://emberhouse.com/)
11:29:14	15248/15248	---M-Z	200	added ('OK')	application/javascript	etag:%223b90-547a6fa611cc5-gzip%22	http://emberhouse.com/wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js?ver=3.51.0-2014.06.20	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/plugins/contact-form-7/includes/js/jquery.form.mind03d.js	(from http://emberhouse.com/)
11:29:15	12106/12106	---M-Z	200	added ('OK')	application/javascript	etag:%222f4a-547a6fa633fa5-gzip%22	http://emberhouse.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.6	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/plugins/contact-form-7/includes/js/scripts167b.js	(from http://emberhouse.com/)
11:29:15	1372/1372	---M-Z	200	added ('OK')	application/javascript	etag:%2255c-54e15896a9a54-gzip%22	http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/js/ssbp_standard.min.js?ver=4.7.18	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/plugins/simple-share-buttons-plus/js/ssbp_standard.minece2.js	(from http://emberhouse.com/)
11:29:16	1235/1235	---M-Z	200	added ('OK')	application/javascript	etag:%224d3-54e15896a9a54-gzip%22	http://emberhouse.com/wp-content/plugins/simple-share-buttons-plus/js/ssbp_email.min.js?ver=4.7.18	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/plugins/simple-share-buttons-plus/js/ssbp_email.minece2.js	(from http://emberhouse.com/)
11:29:16	1398/1398	---M-Z	200	added ('OK')	application/javascript	etag:%22576-5470475030b13-gzip%22	http://emberhouse.com/wp-includes/js/wp-embed.min.js?ver=4.7.18	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-includes/js/wp-embed.minece2.js	(from http://emberhouse.com/)
11:29:17	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Oct%202020%2005:16:47%20GMT	http://emberhouse.com/contact/	C:/My%20Web%20Sites/Shine/emberhouse.com/contact/index.html	(from http://emberhouse.com/)
11:29:18	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2023%20Oct%202020%2005:16:48%20GMT	http://emberhouse.com/our-story/	C:/My%20Web%20Sites/Shine/emberhouse.com/our-story/index.html	(from http://emberhouse.com/)
11:29:26	187400/187400	---M--	200	added ('OK')	image/jpeg	etag:%222dc08-547a76904c825%22	http://emberhouse.com/wp-content/uploads/2017/01/tested.jpg	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/uploads/2017/01/tested.jpg	(from http://emberhouse.com/)
11:29:32	89452/89452	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2215d6c-54d9d3f3305d4%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Bold.eot	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Bold.eot	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:29:33	39952/39952	---M--	200	added ('OK')	application/x-font-woff	etag:%229c10-54d9d3f332514%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Bold.woff	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Bold.woff	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:29:38	250444/250444	---M--	200	added ('OK')	image/jpeg	etag:%223d24c-547a7688631e5%22	http://emberhouse.com/wp-content/uploads/2017/01/enlighten.jpg	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/uploads/2017/01/enlighten.jpg	(from http://emberhouse.com/)
11:29:49	89452/89452	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2215d6c-54d9d3f3305d4%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Bold.eot?	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Boldd41d.eot	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:29:50	89204/89204	---M--	200	added ('OK')	application/x-font-ttf	etag:%2215c74-54d9d3f332514%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Bold.ttf	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Bold.ttf	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:29:52	89572/89572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2215de4-54d9d3f332514%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Extrabld.eot	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Extrabld.eot	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:00	39776/39776	---M--	200	added ('OK')	application/x-font-woff	etag:%229b60-54d9d3f3334b4%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Extrabld.woff	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Extrabld.woff	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
11:30:02	89572/89572	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2215de4-54d9d3f332514%22	http://emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Extrabld.eot?	C:/My%20Web%20Sites/Shine/emberhouse.com/wp-content/themes/emberhouse/fonts/ProximaNova-Extrabldd41d.eot	(from http://emberhouse.com/wp-content/themes/emberhouse/bin/min.css)
